date,visitors_total,yoy_rate,yoy_diff,usd_jpy,cny_jpy
2021-12-01,12084,-0.7940449610553406,-46589.0,113.91652173913043,17.884870558393835
2022-01-01,17766,-0.6181161600962986,-28756.0,114.78095238095239,18.0602045713836
2022-02-01,16719,1.2731475186947656,9364.0,115.2665,18.173449674096638
2022-03-01,66121,4.386200716845878,53845.0,118.57739130434784,18.688639853346523
2022-04-01,139548,11.858011609693172,128695.0,126.37428571428572,19.650665869220255
2022-05-01,147046,13.653313403089188,137011.0,128.7709090909091,19.22418187206415
2022-06-01,120430,12.018052102475409,111179.0,134.01545454545456,20.013538576313273
2022-07-01,144578,1.831808833610812,93523.0,136.63190476190476,20.291345540932088
2022-08-01,169902,5.555872819879611,143986.0,135.28347826086957,19.89169255506803
2022-09-01,206641,10.661455981941309,188921.0,143.13636363636363,20.409047516745304
2022-10-01,498646,21.549902772124994,476533.0,146.96285714285713,20.450054469276466
2022-11-01,934599,44.189004931824776,913917.0,142.29272727272726,19.81528290541283
2022-12-01,1370114,112.38248924197286,1358030.0,134.81772727272727,19.335888967766675
2023-01-01,1497472,83.28864122481144,1479706.0,130.39136363636365,19.200134650435906
2023-02-01,1475455,87.25019438961661,1458736.0,133.1045,19.460086265476576
2023-03-01,1817616,26.489239424691096,1751495.0,133.66434782608695,19.396509417234608
2023-04-01,1949236,12.968211654771117,1809688.0,133.47449999999998,19.37899305203519
2023-05-01,1899176,11.915523033608531,1752130.0,137.20434782608694,19.631345442129664
2023-06-01,2073441,16.216980818732875,1953011.0,141.3790909090909,19.745729891277918
2023-07-01,2320694,15.051501611586826,2176116.0,141.10571428571427,19.628005364396774
2023-08-01,2157190,11.696672199267812,1987288.0,144.7804347826087,19.973141595424988
2023-09-01,2184442,9.571193519195125,1977801.0,147.76666666666665,20.25265655895548
2023-10-01,2516623,4.0469130405137115,2017977.0,149.57,20.47047963330549
2023-11-01,2440890,1.611697637168454,1506291.0,149.74045454545455,20.733585657454395
2023-12-01,2734115,0.9955383274676415,1364001.0,143.91571428571427,20.15640118398226
2024-01-01,2688478,0.7953444204632876,1191006.0,145.99826086956523,20.36907538867946
2024-02-01,2788224,0.8897384196739311,1312769.0,149.6495238095238,20.803514694656617
2024-03-01,3081781,0.6955071918381,1264165.0,149.81857142857143,20.803570936236902
2024-04-01,3043003,0.5611260001354377,1093767.0,153.89,21.262948417551385
2024-05-01,3040294,0.6008489997767452,1141118.0,155.91391304347826,21.555403617806018
2024-06-01,3140642,0.514700442404679,1067201.0,157.85750000000002,21.759040101317556
2024-07-01,3292602,0.4188005829290722,971908.0,157.6904347826087,21.71593820790795
2024-08-01,2933381,0.3598157788604619,776191.0,146.2640909090909,20.46334191587081
2024-09-01,2872487,0.31497517443814016,688045.0,143.09666666666666,20.221720800289194
2024-10-01,3312193,0.31612601490171555,795570.0,149.85739130434783,21.143871282008185
2024-11-01,3187175,0.3057429871890991,746285.0,153.5147619047619,21.30182475948239
2024-12-01,3489888,0.2764232667609081,755773.0,153.97227272727272,21.1455204839088
2025-01-01,3781629,0.4066058937435977,1093151.0,156.51260869565218,21.44841742652608
