国,地域,推定泊数_2019年,推定泊数_2019年差,部屋あたり人数_2019年,部屋あたり人数_2019年差,#,実人数 前年,実人数 前年 構成比,実人数 前年伸率 (客室数補正あり）,実人数 前年伸率 (客室数補正なし）,実人数 当年,実人数 当年 構成比,実人数_2019年,実人数_2019年伸率 （客室数補正あり）,実人数_2019年伸率 （客室数補正なし）,年,延べ人数 前年,延べ人数 前年 構成比,延べ人数 前年伸率 (客室数補正あり）,延べ人数 前年伸率 (客室数補正なし）,延べ人数 当年,延べ人数 当年 構成比,延べ人数_2019年,延べ人数_2019年伸率 （客室数補正あり）,延べ人数_2019年伸率 （客室数補正なし）,延べ部屋数 前年,延べ部屋数 前年 構成比,延べ部屋数 前年伸率 (客室数補正あり）,延べ部屋数 前年伸率 (客室数補正なし）,延べ部屋数 当年,延べ部屋数 当年 構成比,延べ部屋数_2019年,延べ部屋数_2019年伸率 （客室数補正あり）,延べ部屋数_2019年伸率 （客室数補正なし）,推定泊数 前年,推定泊数 前年差,推定泊数 当年,月,総客室数 (Sheet1),総客室数_2019年 (Sheet1),総客室数_前年 (Sheet1),部屋あたり人数_前年,部屋あたり人数_前年差,部屋あたり人数_当年
その他,中南米,1.83,(1.83),2.29,-,6,9,0.021,0,-1,0,0,580,,-1,2021,18,0.024,0.109267498,-0.888888889,2,0.001,1644,,-0.998783455,13,0.028,0,-1,0,0,719,,-1,2,-2,0,7月,549297,384992,458419,1.384615385,0,0
ブラジル,中南米,1.81,(1.81),2.44,-,5,0,,,,0,0,889,,-1,2021,0,,,,0,0,2502,,-1,0,,,,0,0,1025,,-1,0,0,0,7月,549297,384992,458419,0,0,0
その他,中東,2.05,(2.05),1.96,-,39,0,,,,0,0,186,,-1,2021,0,,,,0,0,568,,-1,0,,,,0,0,290,,-1,0,0,0,7月,549297,384992,458419,0,0,0
イスラエル,中東,1.18,(1.18),1.86,-,34,0,,,,0,0,354,,-1,2021,0,,,,0,0,772,,-1,0,,,,0,0,414,,-1,0,0,0,7月,549297,384992,458419,0,0,0
カタール,中東,(0.09),0.09,0.98,-,35,0,,,,0,0,69,,-1,2021,0,,,,0,0,63,,-1,0,,,,0,0,64,,-1,0,0,0,7月,549297,384992,458419,0,0,0
サウジアラビア,中東,3.68,(3.68),2.40,-,37,0,,,,0,0,22,,-1,2021,0,,,,0,0,103,,-1,0,,,,0,0,43,,-1,0,0,0,7月,549297,384992,458419,0,0,0
アフリカ,アフリカ,1.90,(1.90),1.88,-,45,0,,,,0,0,229,,-1,2021,0,,,,0,0,665,,-1,0,,,,0,0,354,,-1,0,0,0,8月,539160,376519,485377,0,0,0
ニュージーランド,オセアニア,2.04,(2.04),2.10,-,42,0,,,,0,0,188,,-1,2021,0,,,,0,0,571,,-1,0,,,,0,0,272,,-1,0,0,0,8月,539160,376519,485377,0,0,0
オランダ,ヨーロッパ,2.12,(2.12),1.98,-,12,0,,,,0,0,957,,-1,2021,0,,,,0,0,2982,,-1,0,,,,0,0,1507,,-1,0,0,0,8月,539160,376519,485377,0,0,0
スウェーデン,ヨーロッパ,2.35,(2.35),1.72,-,15,0,,,,0,0,175,,-1,2021,0,,,,0,0,587,,-1,0,,,,0,0,342,,-1,0,0,0,8月,539160,376519,485377,0,0,0
イスラエル,中東,1.26,(1.26),2.06,-,34,0,,,,0,0,385,,-1,2021,3,0.004,0,-1,0,0,869,,-1,3,0.006,0,-1,0,0,421,,-1,0,0,0,8月,539160,376519,485377,1,0,0
カタール,中東,-,-,1.86,-,35,0,,,,0,0,0,,,2021,0,,,,0,0,78,,-1,0,,,,0,0,42,,-1,0,0,0,8月,539160,376519,485377,0,0,0
サウジアラビア,中東,2.50,(2.50),1.83,-,37,0,,,,0,0,56,,-1,2021,0,,,,0,0,196,,-1,0,,,,0,0,107,,-1,0,0,0,8月,539160,376519,485377,0,0,0
トルコ,中東,1.70,(1.70),1.89,-,38,1,0.002,0,-1,0,0,74,,-1,2021,1,0.001,0,-1,0,0,200,,-1,1,0.002,0,-1,0,0,106,,-1,1,-1,0,8月,539160,376519,485377,1,0,0
アフリカ,アフリカ,1.63,(1.63),1.71,-,45,0,,,,0,0,335,,-1,2021,10,0.009,0,-1,0,0,880,,-1,5,0.007,0,-1,0,0,516,,-1,0,0,0,9月,510033,373565,463114,2,0,0
その他,オセアニア,0.91,(0.91),1.34,-,43,0,,,,0,0,43,,-1,2021,0,,,,0,0,82,,-1,0,,,,0,0,61,,-1,0,0,0,9月,510033,373565,463114,0,0,0
ニュージーランド,オセアニア,1.37,(1.37),1.93,-,42,2,0.004,0,-1,0,0,679,,-1,2021,2,0.002,0,-1,0,0,1611,,-1,1,0.001,0,-1,0,0,833,,-1,1,-1,0,9月,510033,373565,463114,2,0,0
オランダ,ヨーロッパ,2.63,(2.63),1.62,-,12,0,,,,0,0,750,,-1,2021,0,,,,0,0,2724,,-1,0,,,,0,0,1679,,-1,0,0,0,9月,510033,373565,463114,0,0,0
フィンランド,ヨーロッパ,1.54,(1.54),1.47,-,16,0,,,,0,0,128,,-1,2021,0,,,,0,0,325,,-1,0,,,,0,0,221,,-1,0,0,0,9月,510033,373565,463114,0,0,0
UAE,中東,1.67,(1.67),1.77,-,36,1,0.002,0,-1,0,0,76,,-1,2021,0,,,,0,0,203,,-1,1,0.001,0,-1,0,0,115,,-1,0,0,0,9月,510033,373565,463114,0,0,0
イスラエル,中東,1.10,(1.10),1.89,-,34,0,,,,0,0,889,,-1,2021,0,,,,0,0,1868,,-1,0,,,,0,0,990,,-1,0,0,0,9月,510033,373565,463114,0,0,0
カタール,中東,7.11,(7.11),1.66,-,35,1,0.002,0,-1,0,0,9,,-1,2021,1,0.001,0,-1,0,0,73,,-1,1,0.001,0,-1,0,0,44,,-1,1,-1,0,9月,510033,373565,463114,1,0,0
サウジアラビア,中東,0.86,(0.86),1.44,-,37,0,,,,0,0,93,,-1,2021,2,0.002,0,-1,0,0,173,,-1,1,0.001,0,-1,0,0,120,,-1,0,0,0,9月,510033,373565,463114,2,0,0
スイス,ヨーロッパ,1.66,(1.66),1.94,-,14,2,0.002,0,-1,0,0,1092,,-1,2021,6,0.004,0,-1,0,0,2910,,-1,6,0.005,0,-1,0,0,1501,,-1,3,-3,0,10月,557697,381827,504770,1,0,0
スウェーデン,ヨーロッパ,1.89,(1.89),1.76,-,15,0,,,,0,0,429,,-1,2021,0,,,,0,0,1240,,-1,0,,,,0,0,706,,-1,0,0,0,10月,557697,381827,504770,0,0,0
イスラエル,中東,1.19,(1.19),1.93,-,34,0,,,,0,0,2720,,-1,2021,0,,,,0,0,5958,,-1,0,,,,0,0,3090,,-1,0,0,0,10月,557697,381827,504770,0,0,0
カタール,中東,1.04,(1.04),1.21,-,35,0,,,,0,0,28,,-1,2021,0,,,,0,0,57,,-1,0,,,,0,0,47,,-1,0,0,0,10月,557697,381827,504770,0,0,0
サウジアラビア,中東,1.48,(1.48),1.05,-,37,0,,,,0,0,364,,-1,2021,0,,,,0,0,902,,-1,0,,,,0,0,856,,-1,0,0,0,10月,557697,381827,504770,0,0,0
UAE,中東,1.39,(1.39),2.07,-,36,0,,,,0,0,89,,-1,2021,0,,,,0,0,213,,-1,0,,,,0,0,103,,-1,0,0,0,11月,543841,371100,503818,0,0,0
カタール,中東,1.75,(1.75),1.08,-,35,0,,,,0,0,36,,-1,2021,0,,,,0,0,99,,-1,0,,,,0,0,92,,-1,0,0,0,11月,543841,371100,503818,0,0,0
アフリカ,アフリカ,1.22,(1.22),1.77,-,45,1,0.002,0,-1,0,0,158,,-1,2021,2,0.001,0,-1,0,0,350,,-1,2,0.001,0,-1,0,0,198,,-1,2,-2,0,12月,553377,382105,519345,1,0,0
その他,オセアニア,3.95,(3.95),2.04,-,43,0,,,,0,0,19,,-1,2021,0,,,,0,0,94,,-1,0,,,,0,0,46,,-1,0,0,0,12月,553377,382105,519345,0,0,0
オランダ,ヨーロッパ,2.15,(2.15),1.79,-,12,2,0.004,0,-1,0,0,251,,-1,2021,3,0.001,0,-1,0,0,791,,-1,3,0.002,0,-1,0,0,442,,-1,1.5,-1.5,0,12月,553377,382105,519345,1,0,0
スウェーデン,ヨーロッパ,2.59,(2.59),1.82,-,15,0,,,,0,0,129,,-1,2021,0,,,,0,0,463,,-1,0,,,,0,0,255,,-1,0,0,0,12月,553377,382105,519345,0,0,0
フィンランド,ヨーロッパ,2.07,(2.07),1.98,-,16,0,,,,0,0,85,,-1,2021,0,,,,0,0,261,,-1,0,,,,0,0,132,,-1,0,0,0,12月,553377,382105,519345,0,0,0
メキシコ,中南米,2.43,(2.43),2.12,-,4,2,0.004,0,-1,0,0,563,,-1,2021,2,0.001,0,-1,0,0,1930,,-1,1,0.001,0,-1,0,0,910,,-1,1,-1,0,12月,553377,382105,519345,2,0,0
UAE,中東,1.58,(1.58),2.21,-,36,1,0.002,0,-1,0,0,137,,-1,2021,0,,,,0,0,353,,-1,1,0.001,0,-1,0,0,160,,-1,0,0,0,12月,553377,382105,519345,0,0,0
その他,中東,1.50,(1.50),2.10,-,39,3,0.005,0,-1,0,0,208,,-1,2021,33,0.015,0,-1,0,0,521,,-1,1,0.001,0,-1,0,0,248,,-1,11,-11,0,12月,553377,382105,519345,33,0,0
カタール,中東,3.66,(3.66),4.31,-,35,0,,,,0,0,121,,-1,2021,0,,,,0,0,564,,-1,0,,,,0,0,131,,-1,0,0,0,12月,553377,382105,519345,0,0,0
サウジアラビア,中東,1.93,(1.93),1.91,-,37,0,,,,0,0,15,,-1,2021,0,,,,0,0,44,,-1,0,,,,0,0,23,,-1,0,0,0,12月,553377,382105,519345,0,0,0
インドネシア,東南アジア,1.51,(1.51),2.16,-,28,0,,,,0,0,2216,,-1,2021,4,0.002,0,-1,0,0,5557,,-1,2,0.001,0,-1,0,0,2574,,-1,0,0,0,12月,553377,382105,519345,2,0,0
その他,オセアニア,2.08,(2.08),1.54,-,43,7,0.025,0,-1,0,0,12,,-1,2022,21,0.014,0,-1,0,0,37,,-1,21,0.017,0,-1,0,0,24,,-1,3,-3,0,1月,554181,373854,488904,1,0,0
ニュージーランド,オセアニア,1.63,(1.63),2.13,-,42,0,,,,0,0,452,,-1,2022,0,,,,0,0,1187,,-1,0,,,,0,0,557,,-1,0,0,0,1月,554181,373854,488904,0,0,0
イタリア,ヨーロッパ,2.26,(2.26),1.65,-,11,0,,,,0,0,773,,-1,2022,0,,,,0,0,2522,,-1,0,,,,0,0,1526,,-1,0,0,0,1月,554181,373854,488904,0,0,0
オランダ,ヨーロッパ,1.62,(1.62),1.73,-,12,2,0.007,0,-1,0,0,158,,-1,2022,6,0.004,0,-1,0,0,414,,-1,3,0.002,0,-1,0,0,240,,-1,3,-3,0,1月,554181,373854,488904,2,0,0
スウェーデン,ヨーロッパ,1.83,(1.83),1.77,-,15,0,,,,0,0,105,,-1,2022,0,,,,0,0,297,,-1,0,,,,0,0,168,,-1,0,0,0,1月,554181,373854,488904,0,0,0
スペイン,ヨーロッパ,1.04,(1.04),1.92,-,13,0,,,,0,0,842,,-1,2022,6,0.004,0,-1,0,0,1720,,-1,3,0.002,0,-1,0,0,896,,-1,0,0,0,1月,554181,373854,488904,2,0,0
フィンランド,ヨーロッパ,0.86,(0.86),1.57,-,16,0,,,,0,0,74,,-1,2022,0,,,,0,0,138,,-1,0,,,,0,0,88,,-1,0,0,0,1月,554181,373854,488904,0,0,0
メキシコ,中南米,1.73,(1.73),2.28,-,4,0,,,,0,0,258,,-1,2022,0,,,,0,0,705,,-1,0,,,,0,0,309,,-1,0,0,0,1月,554181,373854,488904,0,0,0
イスラエル,中東,1.27,(1.27),1.40,-,34,0,,,,0,0,55,,-1,2022,0,,,,0,0,125,,-1,0,,,,0,0,89,,-1,0,0,0,1月,554181,373854,488904,0,0,0
カタール,中東,1.14,(1.14),2.81,-,35,0,,,,0,0,92,,-1,2022,0,,,,0,0,197,,-1,0,,,,0,0,70,,-1,0,0,0,1月,554181,373854,488904,0,0,0
サウジアラビア,中東,0.80,(0.80),1.50,-,37,0,,,,0,0,5,,-1,2022,0,,,,0,0,9,,-1,0,,,,0,0,6,,-1,0,0,0,1月,554181,373854,488904,0,0,0
トルコ,中東,1.43,(1.43),1.49,-,38,0,,,,0,0,30,,-1,2022,0,,,,0,0,73,,-1,0,,,,0,0,49,,-1,0,0,0,1月,554181,373854,488904,0,0,0
インドネシア,東南アジア,0.91,(0.91),2.03,-,28,2,0.007,0,-1,0,0,1574,,-1,2022,5,0.003,0,-1,0,0,3012,,-1,2,0.002,0,-1,0,0,1483,,-1,2.5,-2.5,0,1月,554181,373854,488904,2.5,0,0
アフリカ,アフリカ,1.10,(1.10),1.40,-,45,0,,,,0,0,109,,-1,2022,0,,,,2,0.002,229,,-0.991266376,0,,,,0,0,163,,-1,0,0,0,2月,505627,322099,423737,0,0,0
その他,オセアニア,3.83,(3.83),1.71,-,43,0,,,,0,0,6,,-1,2022,0,,,,0,0,29,,-1,0,,,,0,0,17,,-1,0,0,0,2月,505627,322099,423737,0,0,0
ニュージーランド,オセアニア,1.15,(1.15),1.80,-,42,7,0.018,0,-1,0,0,300,,-1,2022,7,0.01,0,-1,0,0,646,,-1,3,0.005,0,-1,0,0,358,,-1,1,-1,0,2月,505627,322099,423737,2.333333333,0,0
イタリア,ヨーロッパ,1.88,(1.88),1.56,-,11,0,,,,0,0,616,,-1,2022,0,,,,0,0,1771,,-1,0,,,,0,0,1135,,-1,0,0,0,2月,505627,322099,423737,0,0,0
スペイン,ヨーロッパ,1.35,(1.35),1.92,-,13,3,0.008,0,-1,0,0,934,,-1,2022,6,0.009,0,-1,0,0,2199,,-1,3,0.005,0,-1,0,0,1143,,-1,2,-2,0,2月,505627,322099,423737,2,0,0
フィンランド,ヨーロッパ,1.85,(1.85),1.78,-,16,0,,,,0,0,117,,-1,2022,0,,,,0,0,334,,-1,0,,,,0,0,188,,-1,0,0,0,2月,505627,322099,423737,0,0,0
その他,中南米,1.84,(1.84),2.13,-,6,2,0.005,0,-1,0,0,387,,-1,2022,2,0.003,0,-1,0,0,1099,,-1,1,0.002,0,-1,0,0,515,,-1,1,-1,0,2月,505627,322099,423737,2,0,0
メキシコ,中南米,1.15,(1.15),2.16,-,4,0,,,,0,0,344,,-1,2022,0,,,,0,0,738,,-1,0,,,,0,0,341,,-1,0,0,0,2月,505627,322099,423737,0,0,0
その他,中東,2.20,(2.20),1.70,-,39,0,,,,0,0,87,,-1,2022,0,,,,0,0,278,,-1,0,,,,0,0,164,,-1,0,0,0,2月,505627,322099,423737,0,0,0
イスラエル,中東,0.61,(0.61),1.97,-,34,0,,,,0,0,92,,-1,2022,0,,,,0,0,148,,-1,0,,,,0,0,75,,-1,0,0,0,2月,505627,322099,423737,0,0,0
カタール,中東,0.33,(0.33),1.14,-,35,0,,,,0,0,12,,-1,2022,0,,,,0,0,16,,-1,0,,,,0,0,14,,-1,0,0,0,2月,505627,322099,423737,0,0,0
サウジアラビア,中東,3.50,(3.50),2.31,-,37,0,,,,0,0,18,,-1,2022,0,,,,0,0,81,,-1,0,,,,0,0,35,,-1,0,0,0,2月,505627,322099,423737,0,0,0
トルコ,中東,1.46,(1.46),1.39,-,38,0,,,,0,0,13,,-1,2022,0,,,,0,0,32,,-1,0,,,,0,0,23,,-1,0,0,0,2月,505627,322099,423737,0,0,0
インド,東南アジア,1.26,(1.26),1.79,-,31,2,0.005,0,-1,0,0,240,,-1,2022,2,0.003,0,-1,0,0,542,,-1,1,0.002,0,-1,0,0,302,,-1,1,-1,0,2月,505627,322099,423737,2,0,0
インドネシア,東南アジア,0.75,(0.75),1.95,-,28,0,,,,0,0,909,,-1,2022,0,,,,0,0,1594,,-1,0,,,,0,0,816,,-1,0,0,0,2月,505627,322099,423737,0,0,0
フィリピン,東南アジア,0.46,(0.46),1.90,-,25,2,0.005,0,-1,0,0,338,,-1,2022,4,0.006,0,-1,0,0,495,,-1,4,0.007,0,-1,0,0,260,,-1,2,-2,0,2月,505627,322099,423737,1,0,0
アフリカ,アフリカ,1.65,(1.65),1.83,-,45,9,0.008,0,-1,0,0,201,,-1,2022,62,0.018,0,-1,0,0,533,,-1,62,0.015,0,-1,0,0,291,,-1,6.888888889,-6.888888889,0,3月,563546,386415,536760,1,0,0
その他,オセアニア,0.91,(0.91),1.97,-,43,0,,,,0,0,34,,-1,2022,0,,,,0,0,65,,-1,0,,,,0,0,33,,-1,0,0,0,3月,563546,386415,536760,0,0,0
ニュージーランド,オセアニア,1.63,(1.63),1.89,-,42,0,,,,0,0,334,,-1,2022,0,,,,0,0,878,,-1,0,,,,0,0,464,,-1,0,0,0,3月,563546,386415,536760,0,0,0
ブラジル,中南米,1.76,(1.76),2.00,-,5,4,0.004,0,-1,0,0,904,,-1,2022,4,0.001,0,-1,0,0,2495,,-1,2,0,0,-1,0,0,1250,,-1,1,-1,0,3月,563546,386415,536760,2,0,0
UAE,中東,1.27,(1.27),2.07,-,36,0,,,,0,0,127,,-1,2022,0,,,,0,0,288,,-1,0,,,,0,0,139,,-1,0,0,0,3月,563546,386415,536760,0,0,0
イスラエル,中東,1.16,(1.16),1.81,-,34,0,,,,0,0,2096,,-1,2022,0,,,,0,0,4532,,-1,0,,,,0,0,2502,,-1,0,0,0,3月,563546,386415,536760,0,0,0
カタール,中東,-,-,1.91,-,35,2,0.002,0,-1,0,0,0,,,2022,10,0.003,0,-1,0,0,44,,-1,10,0.002,0,-1,0,0,23,,-1,5,-5,0,3月,563546,386415,536760,1,0,0
トルコ,中東,0.44,(0.44),1.54,-,38,0,,,,0,0,207,,-1,2022,0,,,,0,0,299,,-1,0,,,,0,0,194,,-1,0,0,0,3月,563546,386415,536760,0,0,0
カナダ,北米,1.24,(1.24),2.01,-,2,6,0.006,0,-1,0,0,2945,,-1,2022,7,0.002,0,-1,0,0,6607,,-1,3,0.001,0,-1,0,0,3288,,-1,1.166666667,-1.166666667,0,3月,563546,386415,536760,2.333333333,0,0
その他,オセアニア,0.52,(0.52),1.49,-,43,0,,,,0,0,58,,-1,2022,0,,,,0,0,88,,-1,0,,,,0,0,59,,-1,0,0,0,4月,550259,363582,493094,0,0,0
カタール,中東,1.35,(1.35),1.74,-,35,0,,,,0,0,17,,-1,2022,0,,,,0,0,40,,-1,0,,,,0,0,23,,-1,0,0,0,4月,550259,363582,493094,0,0,0
サウジアラビア,中東,0.95,(0.95),2.02,-,37,0,,,,0,0,88,,-1,2022,0,,,,0,0,172,,-1,0,,,,0,0,85,,-1,0,0,0,4月,550259,363582,493094,0,0,0
トルコ,中東,0.77,(0.77),1.88,-,38,0,,,,0,0,396,,-1,2022,0,,,,3,0.001,699,,-0.995708155,0,,,,0,0,371,,-1,0,0,0,4月,550259,363582,493094,0,0,0
カタール,中東,-,-,2.00,-,35,0,,,,0,0,0,,,2022,0,,,,0,0,10,,-1,0,,,,0,0,5,,-1,0,0,0,5月,569106,383154,515393,0,0,0
サウジアラビア,中東,5.61,(5.61),2.53,-,37,0,,,,0,0,18,,-1,2022,0,,,,0,0,119,,-1,0,,,,0,0,47,,-1,0,0,0,5月,569106,383154,515393,0,0,0
その他,オセアニア,0.00,0.00,2.04,-,43,0,,,,0,0,57,,-1,2022,2,0.003,0,-1,0,0,57,,-1,1,0.003,0,-1,0,0,28,,-1,0,0,0,6月,548616,372823,469016,2,0,0
サウジアラビア,中東,0.84,(0.84),1.92,-,37,0,,,,0,0,50,,-1,2022,0,,,,0,0,92,,-1,0,,,,0,0,48,,-1,0,0,0,6月,548616,372823,469016,0,0,0
その他,オセアニア,-,-,1.70,-,43,0,,,,0,0,0,,,2022,0,,,,0,0,39,,-1,0,,,,0,0,23,,-1,0,0,0,7月,577120,384992,558565,0,0,0
サウジアラビア,中東,3.68,(3.68),2.40,-,37,0,,,,0,0,22,,-1,2022,0,,,,0,0,103,,-1,0,,,,0,0,43,,-1,0,0,0,7月,577120,384992,558565,0,0,0
トルコ,中東,1.20,(1.20),1.59,-,38,1,0.001,0,-1,0,0,55,,-1,2022,1,0.001,0,-1,0,0,121,,-1,1,0.001,0,-1,0,0,76,,-1,1,-1,0,7月,577120,384992,558565,1,0,0
カタール,中東,-,-,1.86,-,35,0,,,,0,0,0,,,2022,0,,,,0,0,78,,-1,0,,,,0,0,42,,-1,0,0,0,8月,574937,376519,545242,0,0,0
サウジアラビア,中東,2.50,(2.50),1.83,-,37,0,,,,0,0,56,,-1,2022,0,,,,4,0,196,,-0.979591837,0,,,,0,0,107,,-1,0,0,0,8月,574937,376519,545242,0,0,0
カタール,中東,7.11,(7.11),1.66,-,35,0,,,,0,0,9,,-1,2022,0,,,,0,0,73,,-1,0,,,,0,0,44,,-1,0,0,0,9月,563216,373565,525071,0,0,0
カタール,中東,1.75,(1.75),1.08,-,35,0,,,,0,0,36,,-1,2022,0,,,,0,0,99,,-1,0,,,,0,0,92,,-1,0,0,0,11月,569966,371100,543629,0,0,0
アフリカ,アフリカ,2.43,(0.21),1.68,(0.20),45,76,0.001,1.020666586,0.039473684,79,0.001,76,0.353936311,0.039473684,2020,261,0.001,0.662128923,-0.325670498,176,0.001,261,-0.121671657,-0.325670498,155,0.002,0.753851254,-0.232258065,119,0.001,155,0,-0.232258065,3.434210526,-1.206362425,2.227848101,1月,381900,373854,373854,1.683870968,-0.204879371,1.478991597
その他,オセアニア,2.08,0.92,1.54,0.26,43,12,0,0.736430322,-0.25,9,0,12,0.2,-0.25,2020,37,0,0.716526799,-0.270270270,27,0,37,0.167567568,-0.270270270,24,0,0.613691935,-0.375,15,0,24,0,-0.375,3.083333333,-0.083333333,3,1月,381900,373854,373854,1.541666667,0.258333333,1.8
オセアニア小計,オセアニア,1.96,1.33,2.08,0.05,44,6846,0.077,0.769633870,-0.216184633,5366,0.065,6846,-0.080054263,-0.216184633,2020,20231,0.102,0.855813742,-0.128416786,17633,0.077,20231,0.022956803,-0.128416786,9711,0.099,0.836607899,-0.147976521,8274,0.074,9711,0,-0.147976521,2.955156296,0.330904085,3.286060380,1月,381900,373854,373854,2.083307589,0.047826082,2.131133672
オーストラリア,オセアニア,1.98,1.32,2.08,0.05,41,6382,0.072,0.762816575,-0.223127546,4958,0.06,6382,-0.074524334,-0.223127546,2020,19007,0.096,0.844077447,-0.140369338,16339,0.071,19007,0.024064189,-0.140369338,9130,0.093,0.824242714,-0.160569551,7664,0.068,9130,0,-0.160569551,2.978219994,0.317262055,3.295482049,1月,381900,373854,373854,2.081818182,0.050097267,2.131915449
ニュージーランド,オセアニア,1.63,1.55,2.13,0.00,42,452,0.005,0.866771971,-0.117256637,399,0.005,452,-0.173633524,-0.117256637,2020,1187,0.006,1.048084490,0.067396799,1267,0.006,1187,-0.000773081,0.067396799,557,0.006,1.048895371,0.068222621,595,0.005,557,0,0.068222621,2.626106195,0.549332402,3.175438596,1月,381900,373854,373854,2.131059246,-0.001647481,2.129411765
その他,ヨーロッパ,1.89,1.66,1.81,(0.01),18,739,0.008,0.918129639,-0.064952639,691,0.008,739,-0.191310390,-0.064952639,2020,2139,0.011,1.127884868,0.148667602,2457,0.011,2139,-0.006557750,0.148667602,1184,0.012,1.135330079,0.15625,1369,0.012,1184,0,0.15625,2.894451962,0.661264391,3.555716353,1月,381900,373854,373854,1.806587838,-0.011847151,1.794740687
イギリス,ヨーロッパ,2.00,2.47,1.86,0.18,8,1118,0.013,0.803618061,-0.181574240,915,0.011,1118,-0.263007603,-0.181574240,2020,3356,0.017,1.197833030,0.219904648,4094,0.018,3356,0.098524136,0.219904648,1801,0.018,1.090402105,0.110494170,2000,0.018,1801,0,0.110494170,3.001788909,1.472528031,4.474316940,1月,381900,373854,373854,1.863409217,0.183590783,2.047
イタリア,ヨーロッパ,2.26,1.50,1.65,0.26,11,773,0.009,0.791368849,-0.194049159,623,0.008,773,0.002347990,-0.194049159,2020,2522,0.013,0.911826494,-0.071371927,2342,0.01,2522,0.154919673,-0.071371927,1526,0.016,0.789515076,-0.195937090,1227,0.011,1526,0,-0.195937090,3.262613195,0.496616339,3.759229535,1月,381900,373854,373854,1.652686763,0.256033694,1.908720456
オランダ,ヨーロッパ,1.62,4.87,1.73,0.21,12,158,0.002,0.528241159,-0.462025316,85,0.001,158,-0.546968688,-0.462025316,2020,414,0.002,1.309209461,0.333333333,552,0.002,414,0.122807018,0.333333333,240,0.002,1.166014676,0.1875,285,0.003,240,0,0.1875,2.620253165,3.873864483,6.494117647,1月,381900,373854,373854,1.725,0.211842105,1.936842105
スイス,ヨーロッパ,1.85,3.62,1.67,0.45,14,144,0.002,0.852349909,-0.131944444,125,0.002,144,-0.337465386,-0.131944444,2020,410,0.002,1.635713527,0.665853659,683,0.003,410,0.271445939,0.665853659,245,0.003,1.286498684,0.310204082,321,0.003,245,0,0.310204082,2.847222222,2.616777778,5.464,1月,381900,373854,373854,1.673469388,0.454256469,2.127725857
スウェーデン,ヨーロッパ,1.83,2.64,1.77,(0.03),15,105,0.001,0.476926304,-0.514285714,51,0.001,105,-0.377099237,-0.514285714,2020,297,0.001,0.753787265,-0.232323232,228,0.001,297,-0.015498496,-0.232323232,168,0.002,0.765653747,-0.220238095,131,0.001,168,0,-0.220238095,2.828571429,1.642016807,4.470588235,1月,381900,373854,373854,1.767857143,-0.027399128,1.740458015
スペイン,ヨーロッパ,1.04,2.36,1.92,0.12,13,842,0.009,0.621563518,-0.366983373,533,0.006,842,-0.364144733,-0.366983373,2020,1720,0.009,1.036140336,0.055232558,1815,0.008,1720,0.059964543,0.055232558,896,0.009,0.977523582,-0.004464286,892,0.008,896,0,-0.004464286,2.042755344,1.362497939,3.405253283,1月,381900,373854,373854,1.919642857,0.115110506,2.034753363
ドイツ,ヨーロッパ,1.47,3.18,1.67,(0.01),10,528,0.006,0.628569315,-0.359848485,338,0.004,528,-0.471502819,-0.359848485,2020,1302,0.007,1.184774230,0.206605223,1571,0.007,1302,-0.003849177,0.206605223,781,0.008,1.189352257,0.211267606,946,0.008,781,0,0.211267606,2.465909091,2.182019903,4.647928994,1月,381900,373854,373854,1.667093470,-0.006416937,1.660676533
フィンランド,ヨーロッパ,0.86,2.19,1.57,0.38,16,74,0.001,1.287094436,0.310810811,97,0.001,74,-0.241109531,0.310810811,2020,138,0.001,2.106119567,1.144927536,296,0.001,138,0.241800153,1.144927536,88,0.001,1.696021347,0.727272727,152,0.001,88,0,0.727272727,1.864864865,1.186681527,3.051546392,1月,381900,373854,373854,1.568181818,0.379186603,1.947368421
フランス,ヨーロッパ,1.77,2.90,1.81,(0.01),9,692,0.008,0.681091627,-0.306358382,480,0.006,692,-0.410682081,-0.306358382,2020,1918,0.01,1.147776699,0.168925965,2242,0.01,1918,-0.006880501,0.168925965,1062,0.011,1.155728691,0.177024482,1250,0.011,1062,0,0.177024482,2.771676301,1.899157033,4.670833333,1月,381900,373854,373854,1.806026365,-0.012426365,1.7936
ヨーロッパ小計,ヨーロッパ,1.76,2.26,1.78,0.12,19,5455,0.061,0.770765570,-0.215032081,4282,0.052,5455,-0.266607528,-0.215032081,2020,15081,0.076,1.123063158,0.143757045,17249,0.075,15081,0.068607756,0.143757045,8475,0.087,1.050959205,0.070324484,9071,0.081,8475,0,0.070324484,2.764619615,1.263638208,4.028257823,1月,381900,373854,373854,1.779469027,0.122085378,1.901554404
ロシア,ヨーロッパ,2.07,0.75,1.79,0.16,17,282,0.003,1.197787379,0.219858156,344,0.004,282,0.185564955,0.219858156,2020,865,0.004,1.099962977,0.120231214,969,0.004,865,0.088738770,0.120231214,484,0.005,1.010309367,0.028925620,498,0.004,484,0,0.028925620,3.067375887,-0.250515421,2.816860465,1月,381900,373854,373854,1.787190083,0.158593050,1.945783133
