旅行・観光消費動向調査　2022年（確報）,,,,,,,,,,,,
第4表　旅行種類(2区分)，宿泊の有無(2区分)，旅行目的(3区分)，主目的地(16区分)・同行者(6区分)・宿泊施設(11区分)・最長交通機関(12区分)・交通機関(12区分)・宿泊数(8区分)・旅行形態(2区分)別延べ旅行者数,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数,延べ旅行者数
,,,,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行,国内旅行
,,,,全体,宿泊旅行,宿泊旅行,宿泊旅行,宿泊旅行,日帰り旅行,日帰り旅行,日帰り旅行,日帰り旅行
,,,,全目的,全目的,観光・レクリエーション,帰省・知人訪問等,出張・業務,全目的,観光・レクリエーション,帰省・知人訪問等,出張・業務
調査期,時間軸コード,,,千人,千人,千人,千人,千人,千人,千人,千人,千人
2022年1-3月,2022000103,宿泊数,全体,"36,059","36,059","19,539","11,640","4,880",***,***,***,***
2022年1-3月,2022000103,宿泊数,1泊,"19,459","19,459","13,744","3,830","1,885",***,***,***,***
2022年1-3月,2022000103,宿泊数,2泊,"8,067","8,067","4,005","2,818","1,244",***,***,***,***
2022年1-3月,2022000103,宿泊数,3泊,"3,696","3,696","1,232","1,668",796,***,***,***,***
2022年1-3月,2022000103,宿泊数,4泊,"1,771","1,771",280,"1,090",400,***,***,***,***
2022年1-3月,2022000103,宿泊数,5泊,913,913,120,571,222,***,***,***,***
2022年1-3月,2022000103,宿泊数,6泊,359,359,56,304,0,***,***,***,***
2022年1-3月,2022000103,宿泊数,7泊,382,382,0,352,30,***,***,***,***
2022年1-3月,2022000103,宿泊数,8泊以上,"1,414","1,414",103,"1,009",302,***,***,***,***
2022年1-3月,2022000103,旅行形態,全体,"64,495","36,059","19,539","11,640","4,880","28,436","20,363","4,389","3,683"
2022年1-3月,2022000103,旅行形態,個人旅行,"62,055","34,366","17,996","11,498","4,871","27,690","19,689","4,317","3,683"
2022年1-3月,2022000103,旅行形態,パック・団体旅行,"2,440","1,694","1,543",142,9,746,674,72,0
2022年4-6月,2022000406,主目的地,全体,"116,166","61,496","37,266","15,310","8,921","54,670","41,590","7,055","6,025"
2022年4-6月,2022000406,主目的地  ,北海道,"7,644","4,599","2,733","1,009",856,"3,045","2,093",371,581
2022年4-6月,2022000406,主目的地  ,東北,"6,912","4,138","2,393","1,374",372,"2,773","2,257",405,112
2022年4-6月,2022000406,主目的地  ,関東,"36,111","16,621","10,602","3,913","2,106","19,491","15,147","2,508","1,836"
2022年4-6月,2022000406,主目的地  ,北陸信越,"9,171","5,301","4,041",916,344,"3,871","3,325",159,387
2022年4-6月,2022000406,主目的地  ,中部,"15,075","7,732","4,224","1,674","1,834","7,344","5,540","1,087",716
2022年4-6月,2022000406,主目的地  ,近畿,"16,436","8,539","5,175","2,575",789,"7,897","6,163",842,892
2022年4-6月,2022000406,主目的地  ,中国,"6,653","3,811","1,875","1,450",486,"2,843","1,899",601,342
2022年4-6月,2022000406,主目的地  ,四国,"3,861","2,454","1,183",510,761,"1,406",979,166,261
2022年4-6月,2022000406,主目的地  ,九州,"11,025","6,073","3,399","1,533","1,141","4,952","3,554",714,684
2022年4-6月,2022000406,主目的地  ,沖縄,"1,462","1,246","1,001",115,130,217,119,38,60
2022年4-6月,2022000406,同行者,全体,"116,166","61,496","37,266","15,310","8,921","54,670","41,590","7,055","6,025"
2022年4-6月,2022000406,同行者,自分ひとり,"22,257","12,322","3,505","4,835","3,982","9,934","5,087","1,933","2,915"
2022年4-6月,2022000406,同行者,夫婦･パートナー,"24,322","12,950","9,865","2,727",357,"11,373","9,729","1,488",156
2022年4-6月,2022000406,同行者,家族･親族,"44,137","23,921","16,261","7,328",332,"20,216","17,255","2,885",76
2022年4-6月,2022000406,同行者,職場の同僚,"7,472","4,134",595,0,"3,539","3,338",854,0,"2,484"
2022年4-6月,2022000406,同行者,友人,"14,738","6,065","5,654",383,28,"8,673","7,986",687,0
2022年4-6月,2022000406,同行者,その他,"2,735","1,823","1,126",13,684,912,517,0,395
2022年4-6月,2022000406,宿泊施設,全体,"61,496","61,496","37,266","15,310","8,921",***,***,***,***
2022年4-6月,2022000406,宿泊施設  ,ホテル (洋室主体),"33,068","33,068","22,161","3,324","7,582",***,***,***,***
2022年4-6月,2022000406,宿泊施設  ,旅館 (和室主体),"8,983","8,983","7,987",607,389,***,***,***,***
2022年4-6月,2022000406,宿泊施設  ,自己所有の別荘･リゾートマンション,429,429,276,92,61,***,***,***,***
2022年4-6月,2022000406,宿泊施設  ,ペンション･民宿･貸別荘,"1,454","1,454","1,184",24,247,***,***,***,***
2022年4-6月,2022000406,宿泊施設  ,キャンプ場,"1,800","1,800","1,782",0,19,***,***,***,***
2022年4-6月,2022000406,宿泊施設  ,保養所･研修施設,706,706,517,0,189,***,***,***,***
2022年4-6月,2022000406,宿泊施設  ,会員制の宿泊施設,581,581,547,13,21,***,***,***,***
2022年4-6月,2022000406,宿泊施設  ,実家や親族･知人宅,"12,761","12,761","1,446","11,003",311,***,***,***,***
2022年4-6月,2022000406,宿泊施設  ,民泊（有料の住宅宿泊）,174,174,151,23,0,***,***,***,***
2022年4-6月,2022000406,宿泊施設  ,車中泊,"1,028","1,028",879,103,46,***,***,***,***
2022年4-6月,2022000406,宿泊施設  ,その他,740,740,516,115,109,***,***,***,***
2022年4-6月,2022000406,宿泊数,全体,"61,496","61,496","37,266","15,310","8,921",***,***,***,***
2022年4-6月,2022000406,宿泊数,1泊,"35,014","35,014","24,703","5,542","4,768",***,***,***,***
2022年4-6月,2022000406,宿泊数,2泊,"14,398","14,398","7,510","4,584","2,304",***,***,***,***
2022年4-6月,2022000406,宿泊数,3泊,"6,035","6,035","2,823","2,407",805,***,***,***,***
2022年4-6月,2022000406,宿泊数,4泊,"2,002","2,002",972,688,342,***,***,***,***
2022年4-6月,2022000406,宿泊数,5泊,"1,240","1,240",551,507,182,***,***,***,***
2022年4-6月,2022000406,宿泊数,6泊,942,942,266,444,232,***,***,***,***
2022年4-6月,2022000406,宿泊数,7泊,442,442,144,284,14,***,***,***,***
2022年4-6月,2022000406,宿泊数,8泊以上,"1,423","1,423",296,854,273,***,***,***,***
2022年4-6月,2022000406,旅行形態,全体,"116,166","61,496","37,266","15,310","8,921","54,670","41,590","7,055","6,025"
2022年4-6月,2022000406,旅行形態,個人旅行,"108,470","56,613","33,293","15,020","8,300","51,857","38,926","7,055","5,876"
2022年4-6月,2022000406,旅行形態,パック・団体旅行,"7,696","4,883","3,973",290,621,"2,813","2,664",0,149
2022年7-9月,2022000709,主目的地,全体,"126,615","69,986","45,856","17,289","6,840","56,630","42,767","8,696","5,167"
